"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc","Healthcare","Diagnostics & Research","USA",35589.25,25.31,126.01,-3.26%,3587
2,"AA","Alcoa Corp","Basic Materials","Aluminum","USA",11793.33,9.17,44.69,2.78%,29671
3,"AAA","Alternative Access First Priority CLO Bond ETF","Financial","Exchange Traded Fund","USA",,,24.92,0.00%,0
4,"AAAA","Amplius Aggressive Asset Allocation ETF","Financial","Exchange Traded Fund","USA",,,29.93,0.00%,0
5,"AAAC","Columbia AAA CLO ETF","Financial","Exchange Traded Fund","USA",,,20.07,0.00%,0
6,"AAAD","PGIM AAA CLO Aggregate Duration ETF","Financial","Exchange Traded Fund","USA",,,49.99,0.00%,0
7,"AAAP","Pacer Barings CLO Market Flex ETF","Financial","Exchange Traded Fund","USA",,,25.28,0.00%,0
8,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,40.07,1.42%,679
9,"AAC-U","Ares Acquisition Corp III","Financial","Shell Companies","USA",396.19,,10.03,0.00%,0
10,"AACB","Artius II Acquisition Inc","Financial","Shell Companies","USA",290.59,53.33,10.50,0.00%,0
11,"AACG","ATA Creativity Global ADR","Consumer Defensive","Education & Training Services","China",40.88,,0.95,0.00%,0
12,"AACI","Armada Acquisition Corp III","Financial","Shell Companies","USA",339.79,,10.00,0.00%,0
13,"AACO","Abony Acquisition Corp I","Financial","Shell Companies","USA",312.52,,9.98,0.00%,0
14,"AACP","Apogee Acquisition Corp","Financial","Shell Companies","USA",234.23,,9.98,0.00%,0
15,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,81.42,0.00%,0
16,"AADX","Applied Aerospace & Defense Inc","Industrials","Aerospace & Defense","USA",2877.03,,16.85,0.00%,0
17,"AAEQ","Alpha Architect US Equity 2 ETF","Financial","Exchange Traded Fund","USA",,,52.90,0.00%,0
18,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",10072.89,49.72,15.23,0.59%,16850
19,"AALG","Leverage Shares 2X Long AAL Daily ETF","Financial","Exchange Traded Fund","USA",,,14.17,0.00%,0
20,"AAME","Atlantic American Corp","Financial","Insurance - Life","USA",32.02,6.97,1.57,0.00%,0
21,"AAMI","Acadian Asset Management Inc","Financial","Asset Management","USA",2926.92,34.94,82.15,0.00%,0
22,"AAOG","Leverage Shares 2X Long AAOI Daily ETF","Financial","Exchange Traded Fund","USA",,,3.39,9.35%,35532
23,"AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA",8667.02,,108.01,4.84%,127578
24,"AAON","AAON Inc","Industrials","Building Products & Equipment","USA",8632.24,74.13,105.38,1.45%,196
25,"AAOX","Tradr 2X Long AAOI Daily ETF","Financial","Exchange Traded Fund","USA",,,15.28,10.25%,314313
26,"AAOZ","Tradr 2X Short AAOI Daily ETF","Financial","Exchange Traded Fund","USA",,,30.75,-10.66%,1633
27,"AAP","Advance Auto Parts Inc","Consumer Cyclical","Auto Parts","USA",3185.65,72.97,52.83,1.52%,2
28,"AAPB","GraniteShares 2x Long AAPL Daily ETF","Financial","Exchange Traded Fund","USA",,,42.46,-1.01%,1234
29,"AAPD","Direxion Daily AAPL Bear 1X ETF","Financial","Exchange Traded Fund","USA",,,10.75,0.43%,33265
30,"AAPE","Leverage Shares 2X Long AAPL Daily ETF","Financial","Exchange Traded Fund","USA",,,15.89,-2.12%,51
31,"AAPG","Ascentage Pharma Group International ADR","Healthcare","Biotechnology","China",1735.12,,18.66,1.56%,1
32,"AAPL","Apple Inc","Technology","Consumer Electronics","USA",4774928.70,39.33,325.10,-0.45%,155047
33,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2028","Financial","Exchange Traded Fund","USA",,,29.50,0.00%,0
34,"AAPU","Direxion Daily AAPL Bull 2X ETF","Financial","Exchange Traded Fund","USA",,,43.65,-1.11%,33685
35,"AAPW","Roundhill AAPL WeeklyPay ETF","Financial","Exchange Traded Fund","USA",,,42.30,0.00%,0
36,"AAPX","T-Rex 2X Long Apple Daily Target ETF","Financial","Exchange Traded Fund","USA",,,39.45,-0.78%,1320
37,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","Financial","Exchange Traded Fund","USA",,,27.79,0.00%,0
38,"AARD","Aardvark Therapeutics Inc","Healthcare","Biotechnology","USA",118.61,,5.42,-1.99%,17
39,"AAT","American Assets Trust Inc","Real Estate","REIT - Diversified","USA",1550.74,83.89,25.26,0.00%,0
40,"AAUA","Alpha Architect US Equity 3 ETF","Financial","Exchange Traded Fund","USA",,,56.67,0.00%,0
41,"AAUC","Allied Gold Corp","Basic Materials","Gold","Canada",2569.62,,20.41,0.00%,0
42,"AAUS","Alpha Architect US Equity ETF","Financial","Exchange Traded Fund","USA",,,59.42,0.00%,0
43,"AAVM","Alpha Architect Global Factor Equity ETF","Financial","Exchange Traded Fund","USA",,,33.02,0.00%,0
44,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,113.40,2.86%,760
45,"AB","AllianceBernstein Holding Lp","Financial","Asset Management","USA",3549.41,11.67,37.96,0.00%,0
46,"ABAT","American Battery Technology Company","Industrials","Waste Management","USA",317.85,,2.33,1.75%,17510
47,"ABBV","Abbvie Inc","Healthcare","Drug Manufacturers - General","USA",443606.35,123.84,251.08,-0.91%,874
48,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",6190.91,14.47,92.00,1.31%,431
49,"ABCL","AbCellera Biologics Inc","Healthcare","Biotechnology","Canada",1806.51,,5.92,1.99%,51074
50,"ABCS","Alpha Blue Capital US Small-Mid Cap Dynamic ETF","Financial","Exchange Traded Fund","USA",,,34.40,0.00%,0
51,"ABEO","Abeona Therapeutics Inc","Healthcare","Biotechnology","USA",364.77,6.83,6.40,-1.23%,32
52,"ABEQ","Absolute Select Value ETF","Financial","Exchange Traded Fund","USA",,,37.43,0.00%,0
53,"ABEV","Ambev SA ADR","Consumer Defensive","Beverages - Brewers","Brazil",48214.08,16.86,3.09,0.37%,35
54,"ABFL","Abacus FCF Leaders ETF","Financial","Exchange Traded Fund","USA",,,82.20,0.00%,0
55,"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",3912.18,7.44,210.12,0.00%,0
56,"ABI","VictoryShares Pioneer Asset-Based Income ETF","Financial","Exchange Traded Fund","USA",,,24.80,0.00%,0
